Order ID,Player Name,Order Type,Stubs,Date
1,Giovanny Gallegos,Sold,1525,8/13/2020
2,Tommy Milone,Sold,45,8/13/2020
3,Tom Henke,Sold,60500,8/13/2020
4,Andrew Heaney,Sold,425,8/12/2020
5,Kevin Smith,Sold,33,8/12/2020
6,Pablo Lopez,Sold,125,8/12/2020
7,Nick Margevicius,Sold,20,8/12/2020
8,Hansel Robles,Sold,230,8/12/2020
9,Austin Nola,Sold,115,8/12/2020
10,Justin Turner,Sold,2150,8/12/2020
11,Tommy La Stella,Sold,675,8/12/2020
12,Zac Gallen,Sold,550,8/12/2020
13,Aaron Nola,Sold,2365,8/12/2020
14,Ryan Borucki,Sold,26,8/12/2020
15,Magneuris Sierra,Sold,7,8/12/2020
1,Sean Poppen,Sold,5,8/12/2020
2,Martin Perez,Sold,8,8/12/2020
3,Hunter Dozier,Sold,234,8/12/2020
4,Wil Crowe,Sold,25,8/12/2020
5,Ben Zobrist,Sold,58,8/12/2020
6,Komodo Pro,Sold,102,8/12/2020
7,Avisail Garcia,Sold,720,8/12/2020
8,Greg Holland,Sold,29,8/12/2020
9,Trea Turner,Sold,1585,8/12/2020
10,Blake Snell,Sold,1500,8/12/2020
11,Tommy Edman,Sold,500,8/12/2020
12,Paul Goldschmidt,Sold,1850,8/12/2020
13,Carlos Santana,Sold,1365,8/12/2020
14,Joey Gallo,Sold,2765,8/12/2020
15,Jose Iglesias,Sold,550,8/12/2020
1,Yasiel Puig,Sold,360,8/12/2020
2,Brent Suter,Sold,10,8/12/2020
3,P.J. Higgins,Sold,13,8/12/2020
4,Ivan Nova,Sold,29,8/12/2020
5,Randy Dobnak,Sold,110,8/12/2020
6,Chris Martin,Sold,385,8/12/2020
7,Tyler Mahle,Sold,100,8/12/2020
8,Brad Wieck,Sold,64,8/12/2020
9,Keynan Middleton,Sold,65,8/12/2020
10,Yoan Lopez,Sold,58,8/12/2020
11,Matt Wisler,Sold,28,8/12/2020
12,Austin Riley,Sold,35,8/12/2020
13,Trey Mancini,Sold,212,8/12/2020
14,Josh Tomlin,Sold,90,8/12/2020
15,Isiah Kiner-Falefa,Sold,14,8/12/2020
1,Seranthony Dominguez,Sold,199,8/12/2020
2,Tom Eshelman,Sold,35,8/12/2020
3,Kevin Smith,Sold,44,8/12/2020
4,Ian Happ,Sold,203,8/12/2020
5,Gameday Armour,Sold,27,8/12/2020
6,A.J. Minter,Sold,36,8/12/2020
7,Phillip Evans,Sold,9,8/12/2020
8,Mychal Givens,Sold,200,8/12/2020
9,Vince Velasquez,Sold,45,8/12/2020
10,BPG 40 2.0,Sold,27,8/12/2020
11,Wilmer Flores,Sold,71,8/12/2020
12,Michael Fulmer,Sold,55,8/12/2020
13,Carlos Estevez,Sold,46,8/12/2020
14,Brandon Morrow,Sold,356,8/12/2020
15,Anibal Sanchez,Sold,40,8/12/2020
1,Martin Perez,Sold,8,8/12/2020
2,Logan Forsythe,Sold,6,8/12/2020
3,Brandon Bielak,Sold,156,8/12/2020
4,Brad Keller,Sold,47,8/12/2020
5,Sandy Alcantara,Sold,121,8/12/2020
6,Merrill Kelly,Sold,157,8/12/2020
7,Dylan Floro,Sold,73,8/12/2020
8,Michael Brosseau,Sold,9,8/12/2020
9,Luis Gil,Sold,260,8/12/2020
10,Zach McKinstry,Sold,7,8/12/2020
11,Randy Dobnak,Sold,101,8/12/2020
12,Jake Noll,Sold,6,8/12/2020
13,Yusmeiro Petit,Sold,242,8/12/2020
14,Junior Santos,Sold,5,8/12/2020
15,Caleb Smith,Sold,224,8/12/2020
1,Ryan Goins,Sold,37,8/12/2020
2,Kike Hernandez,Sold,600,8/12/2020
3,Jose Marmolejos,Sold,26,8/12/2020
4,Jarlin Garcia,Sold,9,8/12/2020
5,Drew Smyly,Sold,151,8/12/2020
6,Martin Maldonado,Sold,73,8/12/2020
7,Dillon Tate,Sold,5,8/12/2020
8,Tyler Stephenson,Sold,10,8/12/2020
9,Zack Littell,Sold,6,8/12/2020
10,Corbin Burnes,Sold,71,8/12/2020
11,Austin Romine,Sold,127,8/12/2020
12,Sixto Sanchez,Sold,28,8/12/2020
13,Adam Duvall,Bought,235,8/12/2020
14,Mychal Givens,Bought,225,8/12/2020
15,Mychal Givens,Bought,225,8/12/2020
1,Adam Duvall,Bought,235,8/12/2020
2,Andrew Benintendi,Bought,340,8/12/2020
3,Andrew Benintendi,Bought,340,8/12/2020
4,Andrew Benintendi,Bought,340,8/12/2020
5,Andrew Benintendi,Bought,340,8/12/2020
6,Andrew Benintendi,Bought,340,8/12/2020
